uniqueID,Search,Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations,Average per Year
748,A,Periphyton removal related to phosphorus and grazer biomass level,"Anderson, EL; Welch, EB; Jacoby, JM; Schimek, GM; Horner, RR",FRESHWATER BIOLOGY,May-99,1999,41,3,633,651,10.1046/j.1365-2427.1999.00405.x,22,1.1
749,A,Disturbance intensity and above- and belowground herbivory effects on long-term (14 y) recovery of a semiarid grassland,"Coffin, DP; Laycock, WA; Lauenroth, WK",PLANT ECOLOGY,Dec-98,1998,139,2,221,233,10.1023/A:1009789017151,22,1.05
750,A,Aggregative responses of brent geese on salt marsh and their impact on plant community dynamics,"Rowcliffe, JM; Watkinson, AR; Sutherland, WJ",OECOLOGIA,Apr-98,1998,114,3,417,426,10.1007/s004420050465,22,1.05
751,A,Bladeploughing and exclosure influence soil properties in a semi-arid Australian woodland,"Eldridge, DJ; Robson, AD",JOURNAL OF RANGE MANAGEMENT,Mar-97,1997,50,2,191,198,10.2307/4002380,22,1
752,A,"Seedling dynamics of Festuca spp in a grassland of Patagonia, Argentina, as affected by competition, microsites, and grazing","Defosse, GE; Robberecht, R; Bertiller, MB",JOURNAL OF RANGE MANAGEMENT,Jan-97,1997,50,1,73,79,10.2307/4002708,22,1
753,A,Effect of grazing pattern on primary productivity,"Semmartin, M; Oesterheld, M",OIKOS,Apr-96,1996,75,3,431,436,10.2307/3545883,22,0.96
754,A,"EFFECTS OF RAIN, SHEEP AND TEPHRITID FLIES ON SEED PRODUCTION OF 2 ARID KAROO SHRUBS IN SOUTH-AFRICA","MILTON, SJ",JOURNAL OF APPLIED ECOLOGY,Feb-95,1995,32,1,137,144,10.2307/2404423,22,0.92
755,A,"WHEN GRAZED BY TIPULA-PALUDOSA, LOLIUM-PERENNE IS A STRONGER COMPETITOR OF RUMEX-OBTUSIFOLIUS","RAMSELL, J; MALLOCH, AJC; WHITTAKER, JB",JOURNAL OF ECOLOGY,Dec-93,1993,81,4,777,786,10.2307/2261675,22,0.85
756,A,GROWTH DYNAMICS OF COLLEMBOLA (FOLSOMIA-CANDIDA) AND A FUNGUS (MUCOR-PLUMBEUS) IN RELATION TO NITROGEN AVAILABILITY IN SPATIALLY SIMPLE AND COMPLEX LABORATORY SYSTEMS,"LEONARD, MA; ANDERSON, JM",PEDOBIOLOGIA,1991,1991,35,3,163,173,,22,0.79
757,A,Matrix habitat restoration alters dung beetle species responses across tropical forest edges,"Barnes, Andrew D.; Emberson, Rowan M.; Chapman, Hazel M.; Krell, Frank-T.; Didham, Raphael K.",BIOLOGICAL CONSERVATION,Feb-14,2014,170,,28,37,10.1016/j.biocon.2013.12.006,21,4.2
758,A,Herbivory and drought interact to enhance spatial patterning and diversity in a savanna understory,"Porensky, Lauren M.; Wittman, Sarah E.; Riginos, Corinna; Young, Truman P.",OECOLOGIA,Oct-13,2013,173,2,591,602,10.1007/s00442-013-2637-4,21,3.5
759,A,Plant species richness responses to grazing protection and degradation history in a low productivity landscape,"Fensham, R. J.; Silcock, J. L.; Dwyer, J. M.",JOURNAL OF VEGETATION SCIENCE,Dec-11,2011,22,6,997,1008,10.1111/j.1654-1103.2011.01305.x,21,2.63
760,A,Alternative states of a semiarid grassland ecosystem: implications for ecosystem services,"Miller, Mark E.; Belote, R. Travis; Bowker, Matthew A.; Garman, Steven L.",ECOSPHERE,May-11,2011,2,5,,,10.1890/ES11-00027.1,21,2.63
761,A,"Rainfall variability may modify the effects of long-term exclosure on vegetation in Mandalgobi, Mongolia","Sasaki, T.; Okayasu, T.; Ohkuro, T.; Shirato, Y.; Jamsran, U.; Takeuchi, K.",JOURNAL OF ARID ENVIRONMENTS,Oct-09,2009,73,10,949,954,10.1016/j.jaridenv.2009.04.008,21,2.1
762,A,Gastropod grazers affect periphyton nutrient stoichiometry by changing benthic algal taxonomy and through differential nutrient uptake,"Liess, Antonia; Kahlert, Maria",JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,Jun-09,2009,28,2,283,293,10.1899/08-115.1,21,2.1
763,A,"Restoration of Calluna vulgaris on grass-dominated moorlands: The importance of disturbance, grazing and seeding","Mitchell, Ruth J.; Rose, Robert J.; Palmer, Stephen C. F.",BIOLOGICAL CONSERVATION,Aug-08,2008,141,8,2100,2111,10.1016/j.biocon.2008.06.006,21,1.91
764,A,"Seasonal variation in soil nitrogen availability under Mongolian pine plantations at the Keerqin Sand Lands, China","Chen, F. S.; Zeng, D. H.; Zhou, B.; Singh, A. N.; Fan, Z. P.",JOURNAL OF ARID ENVIRONMENTS,Oct-06,2006,67,2,226,239,10.1016/j.jaridenv.2006.02.017,21,1.62
765,A,Size traits and site conditions determine changes in seed bank structure caused by grazing exclusion in semiarid annual plant communities,"Osem, Y; Perevolotsky, A; Kigel, J",ECOGRAPHY,Feb-06,2006,29,1,11,20,10.1111/j.2006.0906-7590.04283.x,21,1.62
766,A,"Effects of deer, mice and dwarf bamboo on the emergence, survival and growth of Abies homolepis (Piceaceae) seedlings","Ito, H; Hino, T",ECOLOGICAL RESEARCH,Mar-04,2004,19,2,217,223,10.1111/j.1440-1703.2004.00626.x,21,1.4
767,A,"Stocking rate, precipitation, and herbage production on sand sagebrush-grassland","Gillen, RL; Sims, PL",JOURNAL OF RANGE MANAGEMENT,Mar-04,2004,57,2,148,152,10.2307/4003912,21,1.4
768,A,Mineral concentration dynamics among 7 northern Great Basin grasses,"Ganskopp, D; Bohnert, D",JOURNAL OF RANGE MANAGEMENT,Mar-03,2003,56,2,174,184,10.2307/4003902,21,1.31
769,A,Effects of fire and grazing on an arid grassland ecosystem,"Valone, TJ; Nordell, SE; Ernest, SKM",SOUTHWESTERN NATURALIST,Dec-02,2002,47,4,557,565,10.2307/3672659,21,1.24
770,A,"Influence of cattle grazing on population density and species richness of granivorous birds (Emberizidae) in the and plain of the Monte, Argentina","Gonnet, JM",JOURNAL OF ARID ENVIRONMENTS,Aug-01,2001,48,4,569,579,10.1006/jare.2000.0777,21,1.17
771,A,"Effects of cattle crazing on early postfire regeneration of matorral in northwest Patagonia, Argentina","Raffaele, E; Veblen, TT",NATURAL AREAS JOURNAL,Jul-01,2001,21,3,243,249,,21,1.17
772,A,Effects of migratory geese on plant communities of an Alaskan salt marsh,"Zacheis, A; Hupp, JW; Ruess, RW",JOURNAL OF ECOLOGY,Feb-01,2001,89,1,57,71,10.1046/j.1365-2745.2001.00515.x,21,1.17
773,A,How costly is molluscan shell erosion? A comparison of two patellid limpets with contrasting shell structures,"Day, EG; Branch, GM; Viljoen, C",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,Jan-00,2000,243,2,185,208,10.1016/S0022-0981(99)00120-3,21,1.11
774,A,"Using past and present habitat to predict the current distribution and abundance of a rare cryptic lizard, Delma impar (Pygopodidae)","Dorrough, J; Ash, JE",AUSTRALIAN JOURNAL OF ECOLOGY,Dec-99,1999,24,6,614,624,10.1046/j.1442-9993.1999.00995.x,21,1.05
775,A,The spatial characteristics of stand structure in Pinus torreyana,"Wells, ML; Getis, A",PLANT ECOLOGY,Aug-99,1999,143,2,153,170,10.1023/A:1009866702320,21,1.05
776,A,"Lone star tick abundance, fire, and bison grazing in tallgrass prairie","Cully, JF",JOURNAL OF RANGE MANAGEMENT,Mar-99,1999,52,2,139,144,10.2307/4003507,21,1.05
777,A,"Fallow plant communities and site characteristics in semi-arid Niger, West Africa","Wezel, A; Boecker, R",JOURNAL OF ARID ENVIRONMENTS,Nov-98,1998,40,3,269,280,10.1006/jare.1998.0446,21,1
778,A,Do Svalbard reindeer regulate standing crop in the absence of predators? A test of the exploitation ecosystems model,"Wegener, C; Odasz-Albrigtsen, AM",OECOLOGIA,Aug-98,1998,116,01-Feb,202,206,10.1007/s004420050580,21,1
779,A,GRAZING AND THE PHENOLOGY OF FLOWERING AND FRUITING IN A MONTANE GRASSLAND IN ARGENTINA - A NICHE APPROACH,"DIAZ, S; ACOSTA, A; CABIDO, M",OIKOS,Jun-94,1994,70,2,287,295,10.2307/3545640,21,0.84
780,A,Effects of grazing and prescribed fire on resource selection and nest survival of upland sandpipers in an experimental landscape,"Sandercock, Brett K.; Alfaro-Barrios, Matilde; Casey, Ashley E.; Johnson, Tracey N.; Mong, Tony W.; Odom, Karan J.; Strum, Khara M.; Winder, Virginia L.",LANDSCAPE ECOLOGY,Feb-15,2015,30,2,325,337,10.1007/s10980-014-0133-9,20,5
781,A,"Effects of precipitation on grassland ecosystem restoration under grazing exclusion in Inner Mongolia, China","Hao, Lu; Sun, Ge; Liu, Yongqiang; Gao, Zhiqiu; He, Junjie; Shi, Tingting; Wu, Bingjuan",LANDSCAPE ECOLOGY,Dec-14,2014,29,10,1657,1673,10.1007/s10980-014-0092-1,20,4
782,A,Scale matters: Impact of management regime on plant species richness and vegetation type diversity in Wadden Sea salt marshes,"Wanner, Antonia; Suchrow, Sigrid; Kiehl, Kathrin; Meyer, Wiebke; Pohlmann, Nina; Stock, Martin; Jensen, Kai",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,JAN 1 2014,2014,182,,69,79,10.1016/j.agee.2013.08.014,20,4
783,A,Grasses and browsers reinforce landscape heterogeneity by excluding trees from ecosystem hotspots,"Porensky, Lauren M.; Veblen, Kari E.",OECOLOGIA,Mar-12,2012,168,3,749,759,10.1007/s00442-011-2123-9,20,2.86
784,A,Direct and indirect effects of grazing constrain shrub encroachment in semi-arid Patagonian steppes,"Cipriotti, Pablo A.; Aguiar, Martin R.",APPLIED VEGETATION SCIENCE,Feb-12,2012,15,1,35,47,10.1111/j.1654-109X.2011.01138.x,20,2.86
785,A,"Root fungal symbionts interact with mammalian herbivory, soil nutrient availability and specific habitat conditions","Ruotsalainen, Anna L.; Eskelinen, Anu",OECOLOGIA,Jul-11,2011,166,3,807,817,10.1007/s00442-011-1928-x,20,2.5
786,A,Green waste compost reduces nitrous oxide emissions from feedlot manure applied to soil,"Dalal, Ram C.; Gibson, Iain; Allen, Diane E.; Menzies, Neal W.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,MAR 15 2010,2010,136,03-Apr,273,281,10.1016/j.agee.2009.06.010,20,2.22
787,A,Small-Mammal Microhabitat Associations and Response to Grazing in Oregon,"Johnston, Aaron N.; Anthony, Robert G.",JOURNAL OF WILDLIFE MANAGEMENT,Nov-08,2008,72,8,1736,1746,10.2193/2006-405,20,1.82
788,A,"Pragmatic management increases a flagship species, the Himalayan brown bears, in Pakistan's Deosai National Park","Nawaz, Muhammad Ali; Swenson, Jon E.; Zakaria, Vaqar",BIOLOGICAL CONSERVATION,Sep-08,2008,141,9,2230,2241,10.1016/j.biocon.2008.06.012,20,1.82
789,A,"Short- and long-term vegetation change related to grazing systems, precipitation, and mesquite cover","Mashiri, Fadzayi E.; McClaran, Mitchel P.; Fehmi, Jeffrey S.",RANGELAND ECOLOGY & MANAGEMENT,Jul-08,2008,61,4,368,379,10.2111/07-109.1,20,1.82
790,A,Assessment of juniper encroachment with the use of satellite imagery and geospatial data,"Sankey, Temuulen Tsagaan; Germino, Matthew J.",RANGELAND ECOLOGY & MANAGEMENT,Jul-08,2008,61,4,412,418,10.2111/07-141.1,20,1.82
791,A,Seedling mortality causes recruitment limitation of Boswellia papyrifera in northern Ethiopia,"Negussie, A.; Aerts, R.; Gebrehiwot, K.; Muys, B.",JOURNAL OF ARID ENVIRONMENTS,Apr-08,2008,72,4,378,383,10.1016/j.jaridenv.2007.06.009,20,1.82
792,A,The effects of herbivory and competition on the invasive alien plant Senecio inaequidens (Asteraceae),"Scherber, C; Crawley, MJ; Porembski, S",DIVERSITY AND DISTRIBUTIONS,Nov-03,2003,9,6,415,426,10.1046/j.1472-4642.2003.00049.x,20,1.25
793,A,Nonequilibrium dynamics of sedge meadows grazed by cattle in southern Wisconsin,"Middleton, B",PLANT ECOLOGY,Jul-02,2002,161,1,89,110,10.1023/A:1020361021072,20,1.18
794,A,Vegetation change in a man-made salt marsh affected by a reduction in both grazing and drainage,"Esselink, P; Fresco, LFM; Dijkema, KS",APPLIED VEGETATION SCIENCE,May-02,2002,5,1,17,32,10.1658/1402-2001(2002)005[0017:VCIAMM]2.0.CO;2,20,1.18
795,A,Long-term changes in the vegetation after the cessation of livestock grazing in Eucalyptus marginata (jarrah) woodland remnants,"Pettit, NE; Froend, RH",AUSTRAL ECOLOGY,Feb-01,2001,26,1,22,31,10.1111/j.1442-9993.2001.01069.pp.x,20,1.11
796,A,Effects of water availability and habitat quality on bark-stripping behavior in Barbary Macaques,"Ciani, AC; Martinoli, L; Capiluppi, C; Arahou, M; Mouna, M",CONSERVATION BIOLOGY,Feb-01,2001,15,1,259,265,10.1046/j.1523-1739.2001.99019.x,20,1.11
797,A,"Morphological and physiological responses of perennial grasses to long-term grazing in the Pryor Mountains, Montana","Fahnestock, JT; Detling, JK",AMERICAN MIDLAND NATURALIST,Apr-00,2000,143,2,312,320,10.1674/0003-0031(2000)143[0312:MAPROP]2.0.CO;2,20,1.05
798,A,Livestock grazing effects on forage quality of elk winter range,"Clark, PE; Krueger, WC; Bryant, LD; Thomas, DR",JOURNAL OF RANGE MANAGEMENT,Jan-00,2000,53,1,97,105,10.2307/4003399,20,1.05
799,A,Response of winter birds to drought and short-duration grazing in southeastern Arizona,"Bock, CE; Bock, JH",CONSERVATION BIOLOGY,Oct-99,1999,13,5,1117,1123,10.1046/j.1523-1739.1999.98313.x,20,1
800,A,"Supplemental feeding regimes for Egyptian vultures in the Negev Desert, Israel","Meretsky, VJ; Mannan, RW",JOURNAL OF WILDLIFE MANAGEMENT,Jan-99,1999,63,1,107,115,10.2307/3802491,20,1
801,A,Seasonal grazing impact on cryptogamic crusts in a cold desert ecosystem,"Memmott, KL; Anderson, VJ; Monsen, SB",JOURNAL OF RANGE MANAGEMENT,Sep-98,1998,51,5,547,550,10.2307/4003374,20,0.95
802,A,Phytoplankton responses to experimental enhancement of grazing pressure and nutrient recycling in a small Andean lake,"Queimalinos, CP; Modenutti, BE; Balseiro, EG",FRESHWATER BIOLOGY,Aug-98,1998,40,1,41,49,10.1046/j.1365-2427.1998.00326.x,20,0.95
803,A,Environmental influences on the structure of sedge meadows in the Canadian High Arctic,"Henry, GHR",PLANT ECOLOGY,Jan-98,1998,134,1,119,129,10.1023/A:1009731615304,20,0.95
804,A,"Effects of topography, soil moisture, wind and grazing on Festuca seedlings in a Patagonian grassland","Defosse, GE; Bertiller, MB; Robberecht, R",JOURNAL OF VEGETATION SCIENCE,Nov-97,1997,8,5,677,684,10.2307/3237372,20,0.91
805,A,"INFLUENCE OF ENVIRONMENTAL-FACTORS AND PRELIMINARY DEMOGRAPHIC-ANALYSES OF A THREATENED ORCHID, PLATANTHERA-PRAECLARA","SIEG, CH; KING, RM",AMERICAN MIDLAND NATURALIST,Oct-95,1995,134,2,307,323,10.2307/2426300,20,0.83
806,A,"Abundance of Baird's sparrows, Ammodramus bairdii, in native prairie and introduced vegetation","Sutter, GC; Troupe, T; Forbes, M",ECOSCIENCE,1995,1995,2,4,344,348,10.1080/11956860.1995.11682302,20,0.83
807,A,DOES GRAZING REDUCE SURVIVAL OF INDIGENOUS PERENNIAL GRASSES OF THE SEMIARID WOODLANDS OF WESTERN NEW-SOUTH-WALES,"GRICE, AC; BARCHIA, I",AUSTRALIAN JOURNAL OF ECOLOGY,Jun-92,1992,17,2,195,205,10.1111/j.1442-9993.1992.tb00798.x,20,0.74
808,A,"STRUCTURE, PRODUCTIVITY AND ENERGY-FLOW IN AN ALPINE GRASSLAND IN THE GARHWAL-HIMALAYA","SUNDRIYAL, RC",JOURNAL OF VEGETATION SCIENCE,Feb-92,1992,3,1,15,20,10.2307/3235992,20,0.74
809,A,EFFECT OF SHEEP GRAZING ON THE DEMOGRAPHY OF ANTHYLLIS-VULNERARIA IN SOUTHERN FRANCE,"BASTRENTA, B",JOURNAL OF ECOLOGY,Jun-91,1991,79,2,275,284,10.2307/2260712,20,0.71
810,A,Grazing exclusion reduced soil respiration but increased its temperature sensitivity in a Meadow Grassland on the Tibetan Plateau,"Chen, Ji; Zhou, Xuhui; Wang, Junfeng; Hruska, Tracy; Shi, Weiyu; Cao, Junji; Zhang, Baocheng; Xu, Gexi; Chen, Yizhao; Luo, Yiqi",ECOLOGY AND EVOLUTION,Feb-16,2016,6,3,675,687,10.1002/ece3.1867,19,6.33
811,A,Can livestock grazing maintain landscape diversity and stability in an ecosystem that evolved with wild herbivores?,"Cingolani, Ana M.; Victoria Vaieretti, M.; Giorgis, Melisa A.; Poca, Maria; Tecco, Paula A.; Gurvich, Diego E.",PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,2014,2014,16,4,143,153,10.1016/j.ppees.2014.04.002,19,3.8
812,A,The Response of Soil CO2 Fluxes to Progressively Excluding Vertebrate and Invertebrate Herbivores Depends on Ecosystem Type,"Risch, Anita C.; Haynes, Alan G.; Busse, Matt D.; Filli, Flurin; Schuetz, Martin",ECOSYSTEMS,Nov-13,2013,16,7,1192,1202,10.1007/s10021-013-9676-x,19,3.17
813,A,Grazed vegetation mosaics do not maximize arthropod diversity: Evidence from salt marshes,"van Klink, Roel; Rickert, Corinna; Vermeulen, Rikjan; Vorst, Oscar; WallisDeVries, Michiel F.; Bakker, Jan P.",BIOLOGICAL CONSERVATION,Aug-13,2013,164,,150,157,10.1016/j.biocon.2013.04.023,19,3.17
814,A,Effects of flood timing and livestock grazing on exotic annual plants in riverine floodplains,"Lunt, Ian D.; Jansen, Amy; Binns, Doug L.",JOURNAL OF APPLIED ECOLOGY,Oct-12,2012,49,5,1131,1139,10.1111/j.1365-2664.2012.02176.x,19,2.71
815,A,"Biological soil crust recovery after long-term grazing exclusion in the Monte Desert (Argentina). Changes in coverage, spatial distribution, and soil nitrogen","Gomez, Diana A.; Aranibar, Julieta N.; Tabeni, Solana; Villagra, Pablo E.; Garibotti, Irene A.; Atencio, Adrian",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,Jan-12,2012,38,,33,40,10.1016/j.actao.2011.09.001,19,2.71
816,A,Invertebrate grazing and riparian shade as controllers of nuisance algae in a eutrophic river,"Sturt, Michael M.; Jansen, Marcel A. K.; Harrison, Simon S. C.",FRESHWATER BIOLOGY,Dec-11,2011,56,12,2580,2593,10.1111/j.1365-2427.2011.02684.x,19,2.38
817,A,Plant diversity partitioning in grazed Mediterranean grassland at multiple spatial and temporal scales,"Golodets, Carly; Kigel, Jaime; Sternberg, Marcelo",JOURNAL OF APPLIED ECOLOGY,Oct-11,2011,48,5,1260,1268,10.1111/j.1365-2664.2011.02031.x,19,2.38
818,A,Protection from livestock fails to deter shrub proliferation in a desert landscape with a history of heavy grazing,"Browning, Dawn M.; Archer, Steven R.",ECOLOGICAL APPLICATIONS,Jul-11,2011,21,5,1629,1642,,19,2.38
819,A,Resident functional composition mediates the impacts of nutrient enrichment and neighbour removal on plant immigration rates,"Eskelinen, Anu",JOURNAL OF ECOLOGY,May-10,2010,98,3,540,550,10.1111/j.1365-2745.2010.01654.x,19,2.11
820,A,Do Polylepis australis trees tolerate herbivory? Seasonal patterns of shoot growth and its consumption by livestock,"Giorgis, Melisa A.; Cingolani, Ana M.; Teich, Ingrid; Renison, Daniel; Hensen, Isabell",PLANT ECOLOGY,Apr-10,2010,207,2,307,319,10.1007/s11258-009-9674-4,19,2.11
821,A,"Grass, rainfall and herbivores as determinants of Acacia erioloba (Meyer) recruitment in an African savanna","Seymour, Colleen L.",PLANT ECOLOGY,Jul-08,2008,197,1,131,138,10.1007/s11258-007-9366-x,19,1.73
822,A,"Reintroduction of Nassella pulchra to California coastal grasslands: Effects of topsoil removal, plant neighbour removal and grazing","Buisson, Elise; Anderson, Sean; Holl, Karen D.; Corcket, Emmanuel; Hayes, Grey F.; Peeters, Alain; Dutoit, Thierry",APPLIED VEGETATION SCIENCE,Apr-08,2008,11,2,195,204,10.3170/2008-7-18357,19,1.73
823,A,Perennial grassland dynamics on fertile plains: Is coexistence mediated by disturbance?,"Lewis, Tom; Clarke, Peter J.; Reid, Nick; Whalley, Ralph D. B.",AUSTRAL ECOLOGY,Apr-08,2008,33,2,128,139,10.1111/j.1442-9993.2007.01801.x,19,1.73
824,A,Plant and invertebrate diversity in grassland field margins,"Sheridan, H.; Finn, J. A.; Culleton, N.; O'Donovanc, G.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,Jan-08,2008,123,01-Mar,225,232,10.1016/j.agee.2007.07.001,19,1.73
825,A,"Fire history of pi(n)over-tildeon-juniper woodlands on Navajo Point, Glen Canyon National Recreation Area","Floyd, M. Lisa; Romme, W. H.; Hanna, David; Hanna, Dustan; Winterowd, Mark; Spence, John",NATURAL AREAS JOURNAL,Jan-08,2008,28,1,26,36,10.3375/0885-8608(2008)28[26:FHOPWO]2.0.CO;2,19,1.73
826,A,Herbivory resistance traits in populations of Poa ligularis subjected to historically different sheep grazing pressure in Patagonia,"Rotundo, Jose L.; Aguiar, Martin R.",PLANT ECOLOGY,Jan-08,2008,194,1,121,133,10.1007/s11258-007-9279-8,19,1.73
827,A,Interactive effects of grazing and shrubs on the annual plant community in semi-arid Mediterranean shrublands,"Osem, Yagil; Perevolotsky, Avi; Kigel, Jaime",JOURNAL OF VEGETATION SCIENCE,Dec-07,2007,18,6,869,+,10.1111/j.1654-1103.2007.tb02603.x,19,1.58
828,A,Long-term grazing effects on genetic variability in mountain rough fescue,"Fu, YB; Thompson, D; Willms, W; Mackay, M",RANGELAND ECOLOGY & MANAGEMENT,Nov-05,2005,58,6,637,642,10.2111/05-032R2.1,19,1.36
829,A,Plant community patterns in old embanked grasslands and the survival of halophytic flora,"Bonis, A; Bouzille, JB; Amiaud, B; Loucougaray, G",FLORA,2005,2005,200,1,74,87,10.1016/j.flora.2004.06.002,19,1.36
830,A,"Impacts of grazing and burning on spider assemblages in dry eucalypt forests of north-eastern New South Wales, Australia","Harris, R; York, A; Beattie, AJ",AUSTRAL ECOLOGY,Oct-03,2003,28,5,526,538,10.1046/j.1442-9993.2003.01310.x,19,1.19
831,A,The relative importance of sexual reproduction versus clonal spread in an aridland bunchgrass,"Liston, A; Wilson, BL; Robinson, WA; Doescher, PS; Harris, NR; Svejcar, T",OECOLOGIA,Oct-03,2003,137,2,216,225,10.1007/s00442-003-1332-2,19,1.19
832,A,"A protocol for integrated management, monitoring, and enhancement of degraded Themeda triandra grasslands based on plantings of indicator species","Lunt, ID",RESTORATION ECOLOGY,Jun-03,2003,11,2,223,230,10.1046/j.1526-100X.2003.00201.x,19,1.19
833,A,Establishing tallgrass prairie on grazed permanent pasture in the Upper Midwest,"Jackson, LL",RESTORATION ECOLOGY,Jun-99,1999,7,2,127,138,10.1046/j.1526-100X.1999.72003.x,19,0.95
834,A,Patterns of plant species diversity following local extinction of the plains vizcacha in semi-arid scrub,"Branch, LC; Hierro, JL; Villarreal, D",JOURNAL OF ARID ENVIRONMENTS,Feb-99,1999,41,2,173,182,10.1006/jare.1998.0480,19,0.95
835,A,Songbird community composition and nesting success in grazed and ungrazed pinyon-juniper woodlands,"Goguen, CB; Mathews, NE",JOURNAL OF WILDLIFE MANAGEMENT,Apr-98,1998,62,2,474,484,10.2307/3802321,19,0.9
836,A,Interactions between hare and brent goose in a salt marsh system: evidence for food competition?,"van der Wal, R; Kunst, P; Drent, R",OECOLOGIA,1998,1998,117,01-Feb,227,234,10.1007/s004420050652,19,0.9
837,A,"Soil changes associated with cessation of sheep grazing in the Canterbury high country, New Zealand","Basher, LR; Lynn, IH",NEW ZEALAND JOURNAL OF ECOLOGY,1996,1996,20,2,179,189,,19,0.83
838,A,EFFECTS OF WINTERING GREYLAG GEESE ANSER ANSER ON THEIR SCIRPUS FOOD PLANTS,"AMAT, JA",ECOGRAPHY,Jun-95,1995,18,2,155,163,10.1111/j.1600-0587.1995.tb00336.x,19,0.79
839,A,PRELIMINARY RESPONSE OF SANDHILLS PRAIRIE TO FIRE AND BISON GRAZING,"PFEIFFER, KE; STEUTER, AA",JOURNAL OF RANGE MANAGEMENT,Sep-94,1994,47,5,395,397,10.2307/4002337,19,0.76
840,A,CONTRASTING DEMOGRAPHY OF 2 PATAGONIAN SHRUBS UNDER DIFFERENT CONDITIONS OF SHEEP GRAZING AND RESOURCE SUPPLY,"FERNANDEZ, RJ; NUNEZ, AH; SORIANO, A",OECOLOGIA,Aug-92,1992,91,1,39,46,10.1007/BF00317238,19,0.7
841,A,Synergistic effects of fire and elephants on arboreal animals in an African savanna,"Pringle, Robert M.; Kimuyu, Duncan M.; Sensenig, Ryan L.; Palmer, Todd M.; Riginos, Corinna; Veblen, Kari E.; Young, Truman P.",JOURNAL OF ANIMAL ECOLOGY,Nov-15,2015,84,6,1637,1645,10.1111/1365-2656.12404,18,4.5
842,A,Herbivory drives zonation of stress-tolerant marsh plants,"He, Qiang; Altieri, Andrew H.; Cui, Baoshan",ECOLOGY,May-15,2015,96,5,1318,1328,10.1890/14-0937.1,18,4.5
843,A,Effects of feral free-roaming horses on semi-arid rangeland ecosystems: an example from the sagebrush steppe,"Davies, K. W.; Collins, G.; Boyd, C. S.",ECOSPHERE,Oct-14,2014,5,10,,,10.1890/ES14-00171.1,18,3.6
844,A,Untangling food-web structure in an ephemeral ecosystem,"O'Neill, Brian J.; Thorp, James H.",FRESHWATER BIOLOGY,Jul-14,2014,59,7,1462,1473,10.1111/fwb.12358,18,3.6
845,A,Small-scale patch structure in North American and South African grasslands responds differently to fire and grazing,"Koerner, Sally E.; Collins, Scott L.",LANDSCAPE ECOLOGY,Aug-13,2013,28,7,1293,1306,10.1007/s10980-013-9866-0,18,3
846,A,Contemporary Evolution of Plant Growth Rate Following Experimental Removal of Herbivores,"Turley, Nash E.; Odell, Walter C.; Schaefer, Hanno; Everwand, Georg; Crawley, Michael J.; Johnson, Marc T. J.",AMERICAN NATURALIST,May-13,2013,181,,S21,S34,10.1086/668075,18,3
847,A,"Long-term effects of fire frequency and season on herbaceous vegetation in savannas of the Kruger National Park, South Africa","Smith, Melinda D.; van Wilgen, Brian W.; Burns, Catherine E.; Govender, Navashni; Potgieter, Andre L. F.; Andelman, Sandy; Biggs, Harry C.; Botha, Judith; Trollope, Winston S. W.",JOURNAL OF PLANT ECOLOGY,Feb-13,2013,6,1,71,83,10.1093/jpe/rts014,18,3
848,A,Effects of grazing and invasive grasses on desert vertebrates in California,"Germano, David J.; Rathbun, Galen B.; Saslaw, Lawrence R.",JOURNAL OF WILDLIFE MANAGEMENT,May-12,2012,76,4,670,682,10.1002/jwmg.316,18,2.57
849,A,Regulation of algal structure and function by nutrients and grazing in a boreal wetland,"Rober, Allison R.; Wyatt, Kevin H.; Stevenson, R. Jan",JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,Sep-11,2011,30,3,787,796,10.1899/10-166.1,18,2.25
850,A,Linking Plant Spatial Patterns and Ecological Processes in Grazed Great Basin Plant Communities,"Rayburn, Andrew P.; Monaco, Thomas A.",RANGELAND ECOLOGY & MANAGEMENT,May-11,2011,64,3,276,282,10.2111/REM-D-10-00130.1,18,2.25
851,A,"Influence of Grazing Management on Plant Diversity of Highland Sourveld Grassland, KwaZulu-Natal, South Africa","O'Connor, Tim G.; Martindale, Greg; Morris, Craig D.; Short, Alan; Witkowski, Ed T. F.; Scott-Shaw, Rob",RANGELAND ECOLOGY & MANAGEMENT,Mar-11,2011,64,2,196,207,10.2111/REM-D-10-00062.1,18,2.25
852,A,"Intensive agropastoralism: dryland degradation, the Grain-to-Green Program and islands of sustainability in the Mu Us Sandy Land of China","Dai, Zunguo",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AUG 15 2010,2010,138,03-Apr,249,256,10.1016/j.agee.2010.05.006,18,2
